uuid,name,superClass,interfaces,isInterface,hasSuperClass,hasInterfaces,fields
0c2e4d5e-a267-4f3c-ae15-d857a59b4d10,jdk.internal.util.xml.impl.Parser,,,false,false,false,"[""mXml"",""2"",""jdk.internal.util.xml.impl.Pair""]|[""mItems"",""2"",""java.lang.String[]""]|[""PH_DTD_MISC"",""28"",""int""]|[""EV_WSPC"",""28"",""int""]|[""mEnt"",""2"",""java.util.Map""]|[""PH_AFTER_DOC"",""28"",""int""]|[""EV_DTD"",""28"",""int""]|[""EV_CDAT"",""28"",""int""]|[""XMLNS"",""26"",""char[]""]|[""BUFFSIZE_READER"",""28"",""int""]|[""EV_ELME"",""28"",""int""]|[""mChIdx"",""2"",""int""]|[""mInp"",""4"",""jdk.internal.util.xml.impl.Input""]|[""EV_ENT"",""28"",""int""]|[""PH_DOCELM_MISC"",""28"",""int""]|[""mChars"",""2"",""char[]""]|[""mAttrs"",""4"",""jdk.internal.util.xml.impl.Attrs""]|[""nmttyp"",""26"",""byte[]""]|[""mAttL"",""4"",""jdk.internal.util.xml.impl.Pair""]|[""mIsSAloneSet"",""4"",""boolean""]|[""mBuffIdx"",""4"",""int""]|[""mDoc"",""4"",""jdk.internal.util.xml.impl.Input""]|[""mNoNS"",""2"",""jdk.internal.util.xml.impl.Pair""]|[""mEvt"",""4"",""int""]|[""BUFFSIZE_PARSER"",""28"",""int""]|[""mPref"",""4"",""jdk.internal.util.xml.impl.Pair""]|[""EV_TEXT"",""28"",""int""]|[""mPh"",""4"",""int""]|[""mPEnt"",""2"",""java.util.Map""]|[""PH_MISC_DTD"",""28"",""int""]|[""EOS"",""25"",""char""]|[""mDltd"",""2"",""jdk.internal.util.xml.impl.Pair""]|[""mIsSAlone"",""4"",""boolean""]|[""NONS"",""26"",""char[]""]|[""XML"",""26"",""char[]""]|[""EV_COMM"",""28"",""int""]|[""PH_DOCELM"",""28"",""int""]|[""EV_PI"",""28"",""int""]|[""mBuff"",""4"",""char[]""]|[""mUnent"",""2"",""java.lang.String""]|[""FAULT"",""25"",""java.lang.String""]|[""EV_ELM"",""28"",""int""]|[""mElm"",""4"",""jdk.internal.util.xml.impl.Pair""]|[""EV_ELMS"",""28"",""int""]|[""PH_DOC_START"",""28"",""int""]|[""PH_DTD"",""28"",""int""]|[""asctyp"",""26"",""byte[]""]|[""mIsNSAware"",""4"",""boolean""]|[""mAttrIdx"",""2"",""char""]|[""mESt"",""2"",""char""]|[""mChLen"",""2"",""int""]|[""PH_BEFORE_DOC"",""28"",""int""]|[""EV_NULL"",""28"",""int""]"
8337ed23-a772-44ce-9355-91b4fef24626,sun.text.normalizer.UnicodeSetIterator,,,false,false,false,"[""string"",""1"",""java.lang.String""]|[""endElement"",""4"",""int""]|[""IS_STRING"",""9"",""int""]|[""stringIterator"",""2"",""java.util.Iterator""]|[""set"",""2"",""sun.text.normalizer.UnicodeSet""]|[""nextElement"",""4"",""int""]|[""codepointEnd"",""1"",""int""]|[""endRange"",""2"",""int""]|[""range"",""2"",""int""]|[""codepoint"",""1"",""int""]"
be96f64b-2b00-49e1-ad80-780986178e4d,sun.invoke.util.Wrapper$Format,,,false,false,false,"[""$assertionsDisabled"",""4120"",""boolean""]|[""SHORT"",""24"",""int""]|[""FLOATING"",""24"",""int""]|[""NUM_MASK"",""24"",""int""]|[""UNSIGNED"",""24"",""int""]|[""SLOT_SHIFT"",""24"",""int""]|[""SLOT_MASK"",""24"",""int""]|[""SIZE_SHIFT"",""24"",""int""]|[""INT"",""24"",""int""]|[""SIGNED"",""24"",""int""]|[""SIZE_MASK"",""24"",""int""]|[""FLOAT"",""24"",""int""]|[""VOID"",""24"",""int""]|[""BOOLEAN"",""24"",""int""]|[""KIND_SHIFT"",""24"",""int""]|[""CHAR"",""24"",""int""]"
6345122a-f0e6-4c68-a132-df82cef56114,java.lang.invoke.Stable,,java.lang.annotation.Annotation,true,false,true,
61600902-1ff6-453c-a123-0d8f598866fe,java.util.concurrent.Executors$PrivilegedCallable$1,,java.security.PrivilegedExceptionAction,false,false,true,"[""this$0"",""4112"",""java.util.concurrent.Executors$PrivilegedCallable""]"
58d741b7-c1ff-4952-ac37-bbaaa6f8db04,java.util.function.LongUnaryOperator$lambda_andThen_1__199,,java.util.function.LongUnaryOperator,false,false,true,"[""cap0"",""0"",""java.util.function.LongUnaryOperator""]|[""cap1"",""0"",""java.util.function.LongUnaryOperator""]"
9bc0eab4-dc9a-4aac-95f6-9d0fc278ba92,java.util.IllformedLocaleException,java.lang.RuntimeException,,false,true,false,"[""_errIdx"",""2"",""int""]|[""serialVersionUID"",""26"",""long""]"
8356e7ef-0ce0-47e5-bbf5-b705adb74fc4,sun.reflect.ByteVectorImpl,,sun.reflect.ByteVector,false,false,true,"[""data"",""2"",""byte[]""]|[""pos"",""2"",""int""]"
3b5f8a6b-1305-4535-a15c-cc7c37ec15ac,java.util.RegularEnumSet$EnumSetIterator,,java.util.Iterator,false,false,true,"[""lastReturned"",""0"",""long""]|[""this$0"",""4112"",""java.util.RegularEnumSet""]|[""unseen"",""0"",""long""]"
efa1f5bd-b222-46ab-bcca-fc1af795a266,java.nio.channels.AsynchronousServerSocketChannel,,java.nio.channels.AsynchronousChannel|java.nio.channels.NetworkChannel,false,false,true,"[""provider"",""18"",""java.nio.channels.spi.AsynchronousChannelProvider""]"
344f10c9-dadf-47d6-9e02-01ddaf423092,sun.net.www.http.KeepAliveCache,java.util.HashMap,java.lang.Runnable,false,true,true,"[""LIFETIME"",""24"",""int""]|[""serialVersionUID"",""26"",""long""]|[""keepAliveTimer"",""2"",""java.lang.Thread""]|[""result"",""8"",""int""]|[""MAX_CONNECTIONS"",""24"",""int""]"
47ae50a5-71db-42ec-bd73-b03b993d81e7,sun.nio.fs.UnixFileSystem$1,,java.lang.Iterable,false,false,true,"[""this$0"",""4112"",""sun.nio.fs.UnixFileSystem""]|[""val$allowedList"",""4112"",""java.util.List""]"
c2c3c64a-115b-4e4e-9281-9c218ba5f11c,sun.nio.fs.UnixFileSystem$2,,java.lang.Iterable,false,false,true,"[""this$0"",""4112"",""sun.nio.fs.UnixFileSystem""]"
c1a6c03d-c10b-44c8-88b2-97867011fb27,sun.nio.fs.UnixFileSystem$3,,java.nio.file.PathMatcher,false,false,true,"[""val$pattern"",""4112"",""java.util.regex.Pattern""]|[""this$0"",""4112"",""sun.nio.fs.UnixFileSystem""]"
bed9ae57-0544-4392-b161-c90227deab19,sun.reflect.annotation.AnnotationType$1,,java.security.PrivilegedAction,false,false,true,"[""val$annotationClass"",""4112"",""java.lang.Class""]|[""this$0"",""4112"",""sun.reflect.annotation.AnnotationType""]"
0c77d811-4e4e-47e2-9030-a2154410c57e,java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock,,java.util.concurrent.locks.Lock|java.io.Serializable,false,false,true,"[""serialVersionUID"",""26"",""long""]|[""sync"",""18"",""java.util.concurrent.locks.ReentrantReadWriteLock$Sync""]"
